Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
68;120;50;formation sélective
68;24;0;formation sélective
68;36;0;formation sélective
68;52;9;formation sélective
68;52;10;formation sélective
68;36;12;formation sélective
68;10;8;formation sélective
68;120;21;formation non sélective
68;70;11;formation non sélective
68;25;2;formation non sélective
68;80;34;formation non sélective
68;32;0;formation sélective
68;28;6;formation sélective
68;35;0;formation sélective
68;30;6;formation sélective
69;35;5;formation sélective
69;35;2;formation sélective
69;140;134;formation sélective
69;138;133;formation sélective
69;96;86;formation sélective
69;20;15;formation sélective
69;15;0;formation sélective
69;40;0;formation sélective
69;59;6;formation sélective
69;32;2;formation sélective
69;15;1;formation sélective
69;45;3;formation sélective
69;30;0;formation sélective
69;75;14;formation sélective
69;23;0;formation sélective
69;32;2;formation sélective
69;112;60;formation sélective
69;161;59;formation sélective
69;42;24;formation sélective
69;36;2;formation sélective
69;32;1;formation sélective
69;15;0;formation sélective
69;20;2;formation sélective
69;610;256;formation non sélective
69;92;16;formation sélective
69;300;154;formation sélective
69;135;28;formation non sélective
69;76;12;formation non sélective
69;230;108;formation non sélective
69;5;0;formation sélective
69;325;181;formation non sélective
69;120;29;formation non sélective
69;20;0;formation sélective
69;30;0;formation sélective
69;24;1;formation sélective
69;36;0;formation sélective
69;96;92;formation sélective
69;15;0;formation sélective
69;35;2;formation sélective
69;32;1;formation sélective
70;24;0;formation sélective
70;12;0;formation sélective
70;26;3;formation sélective
71;36;0;formation sélective
71;15;0;formation sélective
71;15;0;formation sélective
71;24;0;formation sélective
71;24;0;formation sélective
71;12;0;formation sélective
71;19;1;formation sélective
72;27;3;formation sélective
72;19;0;formation sélective
72;48;40;formation sélective
72;24;0;formation sélective
72;117;32;formation sélective
72;24;6;formation sélective
72;68;65;formation sélective
72;40;34;formation sélective
72;20;20;formation sélective
72;80;6;formation non sélective
72;80;19;formation non sélective
72;315;116;formation non sélective
72;150;34;formation non sélective
72;11;0;formation sélective
72;24;0;formation sélective
72;34;10;formation sélective
72;34;1;formation sélective
73;24;0;formation sélective
73;45;25;formation sélective
73;15;0;formation sélective
73;24;0;formation sélective
73;32;1;formation sélective
73;30;8;formation non sélective
73;100;31;formation non sélective
73;60;14;formation non sélective
73;305;127;formation non sélective
73;40;20;formation non sélective
73;15;3;formation non sélective
73;53;27;formation sélective
74;96;96;formation sélective
74;34;0;formation sélective
74;40;10;formation sélective
74;15;0;formation sélective
74;15;0;formation sélective
74;15;0;formation sélective
74;24;3;formation sélective
74;14;2;formation sélective
74;35;4;formation sélective
74;15;0;formation sélective
74;115;41;formation sélective
74;115;51;formation sélective
74;16;3;formation sélective
74;54;19;formation sélective
74;15;0;formation sélective
75;48;52;formation sélective
75;59;2;formation sélective
75;24;0;formation sélective
75;24;1;formation sélective
75;48;39;formation sélective
75;192;191;formation sélective
75;48;46;formation sélective
75;48;42;formation sélective
75;42;42;formation sélective
75;15;1;formation sélective
75;24;0;formation sélective
75;48;1;formation sélective
75;24;0;formation sélective
75;60;12;formation sélective
75;60;8;formation sélective
75;90;12;formation sélective
75;30;4;formation sélective
75;35;0;formation sélective
75;30;0;formation sélective
75;30;0;formation sélective
75;48;33;formation sélective
75;35;2;formation sélective
75;96;0;formation sélective
75;46;13;formation sélective
75;14;0;formation sélective
75;24;0;formation sélective
75;24;1;formation sélective
75;375;207;formation non sélective
75;60;54;formation sélective
75;340;182;formation non sélective
75;725;464;formation non sélective
75;950;915;formation non sélective
75;313;159;formation non sélective
75;26;15;formation non sélective
75;70;58;formation non sélective
75;250;123;formation non sélective
75;30;17;formation non sélective
75;40;7;formation non sélective
75;145;89;formation non sélective
75;70;17;formation non sélective
75;55;3;formation non sélective
75;70;12;formation non sélective
75;180;86;formation sélective
75;60;49;formation sélective
75;540;138;formation non sélective
75;257;50;formation non sélective
75;200;96;formation non sélective
